player_name,type,short_form,year,price_in_per_10_lakh,price_in_cr
Christopher Morris,All-Rounder,CSK,2013,0.62,0.062
Dirk Nannes,Bowler,CSK,2013,0.6,0.06
Ben Laughlin,Bowler,CSK,2013,0.02,0.002
Akila Dananjaya,All-Rounder,CSK,2013,0.02,0.002
Jason Holder,Bowler,CSK,2013,0.02,0.002
Johan Botha,All-Rounder,DC,2013,0.45,0.045
Jesse Ryder,All-Rounder,DC,2013,0.26,0.026000000000000002
Jeevan Mendis,All-Rounder,DC,2013,0.05,0.005
Manpreet Gony,Bowler,PBKS,2013,0.5,0.05
Luke Pomersbach,Batsman,PBKS,2013,0.3,0.03
Sachithra Senanayaka,All-Rounder,KKR,2013,0.62,0.062
Ryan McLaren,Bowler,KKR,2013,0.05,0.005
Glenn Maxwell,All-Rounder,MI,2013,1.0,0.1
Nathan Coulter-Nile,Bowler,MI,2013,0.45,0.045
Ricky Ponting,Batsman,MI,2013,0.4,0.04
Philip Hughes,Batsman,MI,2013,0.1,0.01
Jacob Oram,All-Rounder,MI,2013,0.05,0.005
Ajantha Mendis,Bowler,PWI,2013,0.72,0.072
Kane Richardson,Bowler,PWI,2013,0.7,0.06999999999999999
Abhishek Nayar,All-Rounder,PWI,2013,0.68,0.068
Michael Clarke,Batsman,PWI,2013,0.4,0.04
James Faulkner,All-Rounder,RR,2013,0.4,0.04
Fidel Edwards,Bowler,RR,2013,0.21,0.020999999999999998
Kusal Janith Perera,Wicket-Keeper,RR,2013,0.02,0.002
Jaydev Unadkat,Bowler,RCB,2013,0.52,0.052000000000000005
Rudra Pratap Singh,Bowler,RCB,2013,0.4,0.04
Moises Henriques,All-Rounder,RCB,2013,0.3,0.03
Ravi Rampaul,Bowler,RCB,2013,0.29,0.028999999999999998
Pankaj Singh,Bowler,RCB,2013,0.15,0.015
Daniel Christian,All-Rounder,RCB,2013,0.1,0.01
Christopher Barnwell,All-Rounder,RCB,2013,0.05,0.005
Thisara Perera,All-Rounder,SRH,2013,0.68,0.068
Darren Sammy,All-Rounder,SRH,2013,0.42,0.041999999999999996
