team_names,player_name,type,year,price_in_rs_cr
Kolkata Knight Riders,Mitchell  Starc,Bowler,2024,24.75
Sunrisers Hyderabad,Pat Cummins,All-Rounder,2024,20.5
Chennai Super Kings,Daryl Mitchell,All-Rounder,2024,14.0
Punjab Kings,Harshal Patel,All-Rounder,2024,11.75
Royal Challengers Bangaluru,Alzarri Joseph,Bowler,2024,11.5
Gujarat Titans,Spencer Johnson,Bowler,2024,10.0
Chennai Super Kings,Sameer Rizvi,Batsman,2024,8.4
Punjab Kings,Rilee Rossouw,Batsman,2024,8.0
Gujarat Titans,Shahrukh Khan,All-Rounder,2024,7.4
Rajasthan Royals,Rovman Powell,Batsman,2024,7.4
Punjab Kings,Sam Curran,All-Rounder,2023,18.5
Mumbai Indians,Cameron Green,All-Rounder,2023,17.5
Chennai Super Kings,Ben Stokes,All-Rounder,2023,16.25
Lucknow Super Giants,Nicholas Pooran,Wicket-Keeper,2023,16.0
Sunrisers Hyderabad,Harry Brook,Batsman,2023,13.25
Sunrisers Hyderabad,Mayank Agarwal,Batsman,2023,8.25
Gujarat Titans,Shivam Mavi,Bowler,2023,6.0
Rajasthan Royals,Jason Holder,All-Rounder,2023,5.75
Delhi Capitals,Mukesh Kumar,Bowler,2023,5.5
Sunrisers Hyderabad,Heinrich Klaasen,Wicket-Keeper,2023,5.25
Mumbai Indians,Ishan Kishan,Wicket-Keeper,2022,15.25
Chennai Super Kings,Deepak Chahar,Bowler,2022,14.0
Kolkata Knight Riders,Shreyas Iyer,Batsman,2022,12.25
Punjab Kings,Liam Livingstone,All-Rounder,2022,11.5
Delhi Capitals,Shardul Thakur,Bowler,2022,10.75
Royal Challengers Bangaluru,Harshal Patel,All-Rounder,2022,10.75
Royal Challengers Bangaluru,Wanindu Hasaranga,All-Rounder,2022,10.75
Sunrisers Hyderabad,Nicholas Pooran,Wicket-Keeper,2022,10.75
Gujarat Titans,Lockie Ferguson,Bowler,2022,10.0
Lucknow Super Giants,Avesh Khan,Bowler,2022,10.0
Rajasthan Royals,Prasidh Krishna,Bowler,2022,10.0
Rajasthan Royals,Christopher Morris,All-Rounder,2021,16.25
Royal Challengers Bangaluru,Kyle Jamieson,All-Rounder,2021,15.0
Royal Challengers Bangaluru,Glenn Maxwell,All-Rounder,2021,14.25
Punjab Kings,Jhye Richardson,Bowler,2021,14.0
Chennai Super Kings,Krishnappa Gowtham,All-Rounder,2021,9.25
Punjab Kings,Riley Meredith,Bowler,2021,8.0
Chennai Super Kings,Moeen Ali,All-Rounder,2021,7.0
Punjab Kings,Shahrukh Khan,All-Rounder,2021,5.25
Kolkata Knight Riders,Pat Cummins,All-Rounder,2020,15.5
Punjab Kings,Glenn Maxwell,All-Rounder,2020,10.75
Royal Challengers Bangaluru,Christopher Morris,All-Rounder,2020,10.0
Punjab Kings,Sheldon Cottrell,Bowler,2020,8.5
Mumbai Indians,Nathan Coulter-Nile,Bowler,2020,8.0
Delhi Capitals,Shimron Hetmyer,Batsman,2020,7.75
Chennai Super Kings,Piyush Chawla,Bowler,2020,6.75
Chennai Super Kings,Sam Curran,All-Rounder,2020,5.5
Rajasthan Royals,Jaydev Unadkat,Bowler,2019,8.4
Punjab Kings,Varun Chakaravarthy,All-Rounder,2019,8.4
Punjab Kings,Sam Curran,All-Rounder,2019,7.2
Delhi Capitals,Colin Ingram,Batsman,2019,6.4
Kolkata Knight Riders,Carlos Brathwaite,All-Rounder,2019,5.0
Delhi Capitals,Axar Rajesh Patel,All-Rounder,2019,5.0
Chennai Super Kings,Mohit Sharma,Bowler,2019,5.0
Royal Challengers Bangaluru,Shivam Dube,All-Rounder,2019,5.0
Rajasthan Royals,Benjamin Stokes,All-Rounder,2018,12.5
Rajasthan Royals,Jaydev Unadkat,Bowler,2018,11.5
Sunrisers Hyderabad,Manish Pandey,Batsman,2018,11.0
Punjab Kings,KL Rahul,Batsman,2018,11.0
Kolkata Knight Riders,Chris Lynn,Batsman,2018,9.6
Kolkata Knight Riders,Mitchell Starc,Bowler,2018,9.4
Delhi Capitals,Glenn Maxwell,All-Rounder,2018,9.0
Sunrisers Hyderabad,Rashid Khan Arman,Bowler,2018,9.0
Rising Pune Supergiant,Benjamin Stokes,All-Rounder,2017,14.5
Royal Challengers Bangaluru,Tymal Mills,Bowler,2017,12.0
Kolkata Knight Riders,Trent Boult,Bowler,2017,5.0
Delhi Capitals,Kagiso Rabada,Bowler,2017,5.0
Delhi Capitals,Patrick Cummins,Bowler,2017,4.5
Kolkata Knight Riders,Chris Woakes,All-Rounder,2017,4.2
Sunrisers Hyderabad,Rashid Khan Arman,Bowler,2017,4.0
Kolkata Knight Riders,Nathan Coulter-Nile,Bowler,2017,3.5
Royal Challengers Bangaluru,Shane Watson,All-Rounder,2016,9.5
Delhi Capitals,Pawan Negi,All-Rounder,2016,8.5
Delhi Capitals,Christopher Morris,All-Rounder,2016,7.0
Sunrisers Hyderabad,Yuvraj Singh,All-Rounder,2016,7.0
Punjab Kings,Mohit Sharma,Bowler,2016,6.5
Sunrisers Hyderabad,Ashish Nehra,Bowler,2016,5.5
Rising Pune Supergiant,Mitchell Marsh,All-Rounder,2016,4.8
Rising Pune Supergiant,M. Ashwin,Bowler,2016,4.5
Delhi Capitals,Yuvraj Singh,Batsman,2015,16.0
Royal Challengers Bangaluru,Dinesh Karthik,Wicket-Keeper,2015,10.5
Delhi Capitals,Angelo Mathews,All-Rounder,2015,7.5
Delhi Capitals,Zaheer Khan,Bowler,2015,4.0
Sunrisers Hyderabad,Trent Boult,Bowler,2015,3.8
Delhi Capitals,Amit Mishra,Bowler,2015,3.5
Mumbai Indians,Aaron Finch,Batsman,2015,3.2
Punjab Kings,Murali Vijay,Batsman,2015,3.0
Royal Challengers Bangaluru,Yuvraj Singh,All-Rounder,2014,14.0
Delhi Capitals,Dinesh Karthik,Wicket-Keeper,2014,12.5
Delhi Capitals,Kevin Pietersen,Batsman,2014,9.0
Punjab Kings,Mitchell Johnson,All-Rounder,2014,6.5
Punjab Kings,Glenn Maxwell,All-Rounder,2014,6.0
Kolkata Knight Riders,Jacques Kallis,All-Rounder,2014,5.5
Sunrisers Hyderabad,David Warner,Batsman,2014,5.5
Kolkata Knight Riders,Robin Uthappa,Batsman,2014,5.0
Mumbai Indians,Glenn Maxwell,All-Rounder,2013,5.32
Pune Warriors India,Ajantha Mendis,Bowler,2013,3.85
Pune Warriors India,Kane Richardson,Bowler,2013,3.72
Pune Warriors India,Abhishek Nayar,All-Rounder,2013,3.59
Sunrisers Hyderabad,Thisara Perera,All-Rounder,2013,3.59
Kolkata Knight Riders,Sachithra Senanayaka,All-Rounder,2013,3.32
Chennai Super Kings,Christopher Morris,All-Rounder,2013,3.32
Chennai Super Kings,Dirk Nannes,Bowler,2013,3.19
